,question
469,WRB VBD NNP NNP VB PRP$ .
470,WRB VBD PRP VB VBG NNP POS NN NN .
471,WP NN VBD NNP POS NNP NN .
472,WP NN VBD NNP NN IN DT CD NN TO VB NNP NNP .
473,NN VBZ VBN WDT JJ NN IN VBG `` PRP VBZ PRP MD VB PRP DT '' .
474,JJ NN CC NN VBD NNP NN NNP IN VBG PRP$ TO VB NN IN PRP$ NN .
475,NN VBZ VBD IN WP VBZ DT `` NN IN NN CC DT JJ NN '' .
476,WP RB VBZ NNP .
477,NN VBZ PRP VB NNP NNP .
478,WRB VBZ PRP VB NNP NNP NNP .
479,WRB VBZ NNP VB PRP$ .
480,WRB VBZ PRP VB NNP NNP .
481,WP VBZ NNP IN `` PRP VBZ PRP DT . ''
482,WP VBZ NNP VB IN DT NN IN NN .
483,WP VBZ NNP VB IN JJ CC JJ .
484,WP VBD NNP TO VB NN IN PRP$ NN .
485,NNP VBD DT JJ NN NN WP$ NN VBD WP .
486,NNP VBD NNS IN DT NN VBN IN DT NN IN .
487,DT NNP NNS VBD WDT CD NNS .
488,DT NNP JJ NN VBD WRB .
489,WP NN VBD NNP NN IN CD .
490,WP NN NN VBZ DT NN NNP NNP CC DT NN IN DT NNP NN NN .
491,WRB VBD NNP NNP VBP VB PRP$ JJ NN .
492,WP NN VBZ NNP IN PRP$ NNS .
493,WP VBZ DT NN IN NNP POS JJ NN NN .
494,NNP NNP VBZ RB DT NN IN WDT NNP NN .
495,WP VBP NNP POS NN NNS VBN .
496,WRB VBD DT NNP VBP PRP$ NN .
497,WP NN VBZ NNP VBD NN IN .
498,JJ JJ NN IN NNP NNP VBD NNP DT JJS NN JJ .
499,IN WP VBZ NNP VB NN .
500,WP VBD PRP IN NN CD IN PRP$ NN IN NNP NN NNP .
501,WRB VBZ VBN NNP VBD PRP$ .
502,WRB VBZ NNP NNP VBZ PRP$ .
503,WP VBZ VBN IN NN CD IN PRP CD JJS NNS .
504,WP VBZ VBD IN NNP VBZ DT JJS NN JJ .
505,NNP NN VBD JJ NN VBZ VBN WP .
506,PRP$ NN NN VBD VBN WRB VBG TO NNP .
507,WP NN VBD NNP VB RB IN NNP NNP .
508,NNP VBD RP NNP NNP IN WDT NN .
509,WRB VBZ PRP VB NNP .
510,RB WP VBD PRP VB IN NNP .
511,WP VBZ DT NN IN NNP POS NN NN .
512,WRB VBD NNP VB NNP NNP .
513,NNP NNP VBD VBN IN DT NN IN WP NN .
514,WP VBD NNP NN IN NNP CD IN NNP NNP VBD DT RBR VBN .
515,NNP POS NN NN VBZ VBN IN WP .
516,JJ NN NN VBD NNP IN DT `` NN NN NN . ''
517,JJ NN VBD IN DT NN VBN TO VB NNP IN CD .
518,NNP VBD DT NN IN WDT NN IN NNP VBD IN .
519,NNP NNP VBD WDT NN IN DT CD VBN TO NNP .
520,WP NN VBZ RB VBN TO VB NNP
521,WRB VBD DT NN VBD TO DT NN .
522,WP NN VBD IN NNP VBD DT `` NN NN '' .
523,"IN IN NNP POS JJ NN , WP VBD NN VBZ VBN VBN TO VB PRP ."
524,IN WP NN VBD DT JJ NN IN DT NN IN DT NNP POS NNP NN WDT VBZ RB VBN TO VB NNP NN IN DT NN .
525,WRB VBZ NNP VB PRP VBZ TO VB NN .
526,"IN NNP CD , WP VBD NN VBD NNP VB VBG ."
527,NNP POS JJ NN NN VBD IN WRB .
528,`` NNP VBZ JJS JJ NN '' VBD VBN TO NNP IN WDT JJ NN .
529,JJ NN CC NN VBD NNP NN NNP IN PRP$ NN .
530,WP NN NN VBD NNP IN NN CD IN PRP$ CD NNP NNPS NN .
531,WP VBD NNP DT NNP POS RBS NNP NNP .
532,WP VBD PRP NNP NNP NNP IN DT NNP .
533,WRB VBD PRP VB IN DT NN IN NNP .
534,NNP VBD PRP$ IN WP NN IN PRP$ CD JJS NNS NN .
535,WP NN VBD NNP JJ NN IN NNP NNP .
536,WP NN VBD NNP VBD DT `` NNP VBZ JJS JJ NNP '' .
537,WP NN VBD NNP NN NNP .
538,WP NN VBZ VBN JJ NNS IN NNP IN NN .
539,JJ NN IN NNP POS NN VB DT NN .
540,JJ NNP NN IN NNP VBD VBN IN NNP NNP NN .
541,WP VBD DT NN IN NNP POS NN POS NN .
542,WRB VBD PRP IN DT NNP NNP NN .
543,WP VBD PRP DT JJ JJ NNP IN DT NN IN .
544,"NNP VBD DT JJ JJ NNP NN VBD IN DT NN NN IN DT NN , WP VBD RB ."
545,WP NN VBD NNP VBD DT `` JJ NN '' .
546,NNP VBZ DT NN NN WDT VBZ VBN TO IN WP .
547,"IN DT NNP NNP , NNS IN NNP VBD VBN WP ."
548,JJ JJ NNS NN VBD NNP NNS VBP VBN IN DT NNP NNP .
549,WP VBZ NNP POS NN NN VBN .
550,WP VBD DT NNS VBN TO VB VBN .
551,WP VBZ DT JJS NN VBN TO VB NNP NNS .
552,WP VBD DT JJ NN VBN TO VB NNS .
553,WP NN VBZ `` NNP NNP '' NN IN .
554,NNP VBZ DT NN NN VBN IN WP .
555,NNP NNP NN VBD NNP VB RP IN DT NN IN .
556,NN VBD VBN VBG WP IN DT JJ NN WDT VBD NN .
557,JJ NN VBD NNP NN NN IN NNP .
558,WP VBD NNP VB NNP IN IN CD .
559,WP JJ NNP NN VBD DT NNS NN .
560,WRB VBD PRP VBD IN DT NN IN NNP .
561,WP JJ NN VBD NNP VB IN VBG NN CC JJ NN .
562,WP NN NN IN NNP VBD NNP NN .
563,WP NN IN NN VBZ NNP .
564,JJ JJ NN VBD NN TO NNP .
565,WDT NN IN NNP NNP VBD IN WRB NN VBZ IN DT NNS IN NNP .
566,JJ NN VBD VBN IN VBG NNP POS NN .
567,WP VBD NNP NN .
568,WRB VBD VB NN TO NNS IN VBG NNS .
569,"IN NN TO PRP$ JJ NN NN , WP RB VBZ VBN NN IN DT JJ NNP NN VB NNP ."
570,"IN CD , WDT NN NN VBD PRP VBZ DT NN VBZ VB NN IN RB ."
571,WP VBD VBN IN VBG NNP POS NN IN DT NN .
572,WP NN VBD NNP POS NN RB VBD IN .
573,WP VBD NNP NN IN CD TO RB VB JJ NNS IN PRP$ RB IN VBN NNS .
574,NN IN DT NNP VBD VBN IN NNP IN WDT NN .
575,IN DT JJ NN IN NNP VBP IN DT NNP CD NN .
576,NNP IN VBD RB IN DT NNP CD NN IN WP NN .
577,WP VBD DT NNP NN PRP$ .
578,WRB VBD NNP RB VB DT NNP CD NNP .
579,WRB VBD PRP RB IN DT NNP CD NNP CC IN DT NN .
580,WP VBD IN PRP VBZ DT VBG JJ NN .
581,WP VBD IN NNP VBZ DT RBS JJ NN IN DT JJ NN .
582,JJ NN VBD NNP DT NNP IN DT NNP .
583,WP NN VBD NNP VB IN CD .
584,WP VBD NNP VBZ DT JJ NN IN DT NNP NNPS .
585,WP NN VBD NNP VBD DT IN DT NNP CD NN RB RB IN DT NN IN DT NN .
586,WDT NN NN VBD NNP IN PRP$ JJ NN .
587,"WDT VBP VBN IN NNP IN VBG IN DT NN , `` NN NNP . ''"
588,JJ NNP VBD DT NN IN WDT NN IN NN IN VBG NNP VBN IN PRP .
589,WP VBD NNP NNP TO VB DT NNP JJ NN .
590,JJ NN VBD NNP IN DT NN IN PRP$ JJS NN .
591,WP IN NNP VBZ VBN JJ NNS .
592,IN WP NN VBD NNP VBG NNP .
593,WDT NNP NN VBD NNP VBD DT NN IN CD IN NN NNS .
594,WP VBD DT NN IN DT NNP NNP POS NN .
595,WP VBD NNP IN JJ NNS IN NN IN DT NN POS NN NN .
596,WP VBD DT NN IN DT NN WDT NNP NNP VBD IN IN DT NN .
597,NNP POS NNP NN VBD WDT NN TO VB NNP POS JJ NN IN CD .
598,NNP VBD WP VBD DT `` NNP NN IN DT CD . ''
599,WRB JJ NNP NNS VBD `` NNP IN NNP '' NN .
600,WRB JJ VBD NNP IN NNP NN TO VB CD IN DT JJS NN NNS IN NN .
601,WP NN IN NN VBD VBN IN NNP IN CD .
602,DT NN IN NNP IN DT NNP CC NNP NNP IN NN VBD VBN WRB .
603,NNP IN NNP POS NNS VBD VBN NNP NN IN DT CD .
604,WRB JJ NNP NNS VBD NNP IN NNP NN .
605,WRB JJ NNS VBD NNP IN NNP NN .
606,WP VBD DT JJ NNP NNP NNP .
607,JJ NN NNS NNP IN NNP TO VB CD IN DT JJ CD NNS IN DT NN .
608,WP VBD `` NNP NNP NNP '' IN CD .
609,WP VBD NNP NNP NN IN NNP .
610,WRB JJ NNS IN PRP$ NNS IN NNP VBD IN DT NNP .
611,"VBG NN , WRB JJ NNS IN NNP VBD ."
612,WRB JJ NNS VBD NNP VBN IN DT NNP .
613,"WRB NNP VBD IN NNP POS NNP , WRB JJ NNS VBD PRP VB TO VB ."
614,WP VBD DT JJ NN TO VB DT NNP NNP NNP IN DT JJ NNP NNPS .
615,WRB JJ NNS VBZ NNP IN DT JJ NN VBN IN DT NNP .
616,WRB JJ VBZ PRP VBD RB .
617,WRB JJ NNS VBZ PRP VBN IN NNP POS NNP .
618,WRB VBD PRP VB DT NNP NNP .
619,WRB JJ NN NNS VBZ PRP VBN IN DT CD .
620,WRB JJ NNS VBZ NNP VBN IN DT NNP NNPS .
621,WRB JJ NNS VBZ NNP VBN IN DT NN .
622,WP VBD NNP IN VBG DT JJ JJ NN IN DT CD .
623,WRB JJ NNS VBD NNP VB NNP .
624,WRB VBD NNP VB DT NNP NNP .
625,WRB JJ NNP VBZ NNP VBD JJ IN CC IN NNP POS NNP .
626,WP VBZ DT RB JJ NN IN RBR NNP NNS IN NNP .
627,NN VBZ VBN VBN WRB JJ NNP NNS .
628,NNP VBZ DT NN IN WRB JJ NNS IN CD NN IN DT NN .
629,WRB JJ NNS IN DT NNP NNP NNP NNP NNP IN CD VBD NNP VB NN .
630,WRB JJ NNP VBZ NNP VBD .
631,WRB JJ NNP NNS VBZ NNP VB .
632,WRB VBD PRP VB DT NN IN JJS NNP NNS VBD IN CD NN .
633,WP VBD PRP$ NN IN JJS NNS VBD IN CD NN IN CD .
634,WRB JJ NNP VBZ NNP VBD .
635,WRB JJ NNP NNS VBZ NNP VBD .
636,WP NNP NN VBD NN IN DT NN IN CD .
637,WP NN VBD NNP VBN IN NNP NNP IN NNP NNP NNP .
638,WDT NN NN VBZ NNP VBN IN IN CD .
639,NNS VBD NNP WRB RB IN CD IN PRP$ NN .
640,JJ NN VBD DT NN TO NNP IN PRP$ NNP NN NN .
641,WP NN IN NNS VBD JJ IN NNP POS NN IN NNP .
642,WRB VBD NNP VB VBG NNP NNS .
643,WP VBD IN DT JJ IN NNP IN CD .
644,WP VBD PRP VB TO VB IN CD CD NNS IN CD .
645,WP VBD PRP DT NN VBG IN PRP VBZ DT NNP NN .
646,WP JJ NN NN VBZ NNP VBN IN IN CD .
647,WRB RB VBD NNP VB IN DT NN IN DT JJ NN NN IN CD .
648,WP VBD PRP TO VB PRP$ NN IN DT JJ NN NN JJ TO DT NN IN DT NN .
649,WP NN VBD IN DT NNS NNP VBD IN DT JJ NN NN VBD CD NN JJ .
650,"NN VBN IN WP IN PRP$ NNS , NNP NNP CC NNP NNP NNP ."
651,DT NN POS JJS NN NN VBP NN NNS TO WP .
652,NNP POS JJ NN VBD WP NN .
653,DT NNP NNP NNP NNP NNP VBD VBN IN WP NN .
654,WRB JJ NN VBD DT NNP NNP NNP NNP NNP NN NN .
655,WP VBD NNP POS CD NN VBN .
656,"WRB VBD PRP$ JJ NN , NNP NNP , VBN ."
657,WP VBD NNP POS JJ NN VBN .
658,WRB JJ NNS IN NNP VBP VBN VBN .
659,NNP NNP NNP NN VBD NNP NN IN CD .
660,WP NN VBD NNP VB PRP$ JJ NN .
661,WP VBD NNP POS JJ NN VBN .
662,WRB JJ NNS IN NNP NN .
663,WRB JJ VBD NN WRB PRP VBD NNS IN NNP NNP CC NNP .
664,WP VBD DT NN IN DT NN NN WDT VBD VBN IN NNP .
665,WRB VBD NNP VB PRP$ NNS IN NN NNS .
666,WRB JJ NNS VBD NNS WRB NNP VBD DT NN NN NN .
667,WRB VBD DT NN VBD .
668,WP VBD DT NN IN DT NN NN .
669,WP NN NN VBD NNP VB IN IN .
670,WP NN VBD VBG DT NN NN .
671,WRB JJ NNS VBD PRP$ NNS IN NNP VBG IN IN DT NN .
672,WRB VBD DT NN VBD RB IN NN .
673,WP VBD NNP POS NN VB IN NN IN IN CD .
674,"IN PRP$ NN RB , NNP POS CC NNP '' JJ NN VBD VBN WP ."
675,WP NN IN NN VBZ NNP NNP NNP NNP VB .
676,DT NN CC NNS VBD VBN TO VB IN NNS WRB .
677,WP VBD NNP NN IN IN NNP .
678,WRB MD DT JJ NN NN .
679,WP VBZ DT NN IN NNP POS NN NN .
680,WP VBD NNP CC NNP NNP NN IN IN NNP CD .
681,WRB VBZ NNP VBN .
682,WP VBD DT JJ NN IN NNP IN IN DT NN .
683,"WRB VBD PRP VBD NNP VBD DT NN IN DT NN NN , NNP ."
684,DT NN NN IN NNP VBD IN DT NN IN WP IN CD .
685,WRB VBD PRP VBD IN NNP VBD DT NN IN NNP .
686,WP NN IN NN VBZ NNP .
687,WP VBZ DT NN IN JJ VBG NNS .
688,WP NN VBG NN VBZ NNP NN NN IN .
689,WP VBZ DT NN NN IN DT NN NN NNP VBZ NN IN .
690,WP VBD DT NN NN IN DT NN NN NNP VBZ NN IN .
691,WP NN NN VBZ VBN IN VBG JJ NN NNS .
692,NNP IN NNP VBD VBN IN NNP CC WDT IN NNP POS NNS .
693,NNP POS NN POS NN VBD .
694,NNP POS NN POS NN NN VBZ WP .
695,WP VBZ IN NNS VBP VBN IN NNP POS NN NN .
696,WDT CD NNS MD PRP VB NNP POS NN NN .
697,"WP VBD IN NNP TO VB DT NN NN , NNP ."
698,WRB VBD NNP CC PRP$ JJ NN NNP .
699,WP VBD DT NN VBN IN IN NNP POS NN .
700,WRB VBD NNS IN DT NN NN VBN .
701,WP NNS IN DT NNP IN NNP NN NN NN IN NNP .
702,WP VBZ DT NN IN DT NNP IN NNP JJ NN .
703,WP NN IN JJ NN VBD NNP NN IN IN CD .
704,"IN CD , NNP VBD NNP TO WP NN ."
705,NNP NN VBD VBN IN WP NN IN NNP POS NN NN .
706,WP VBD NNP POS NNP NNP NN .
707,WP JJ NN VBD NNP CC PRP$ NN NN IN CD .
708,WRB VBD NNP NN IN NNP CC NNP TO VB NN IN NNP .
709,WP NN VBD NNP VB RB IN IN CD TO VB NNS TO PRP$ NNS .
710,WP VBD DT NN IN DT NN VBD RP IN NNP NNP IN CD WDT VBD NNP NNS .
711,WP VBD DT NN IN DT JJ NNS VBN IN CD IN NNP CC PRP$ NN .
712,WP VBD NNP NN RB IN IN CD TO VB PRP$ NNS IN NNP .
713,NNP NNP IN NNP NNS VBD VBN IN NNS WDT VBD NNP POS CC WP JJ NN .
714,"NNP , IN NNP CD , VBN IN WP TO VB DT JJ NN IN NN ."
715,NN CC NNP RB NNS VBD TO VB VBN IN NNS WRB .
716,WP VBZ DT JJ NN VBN .
717,WP VBZ NNP POS NN IN NN IN DT JJ NN .
718,WRB MD DT JJ NN VB .
719,WP NN VBD NNP NN IN TO VB NN IN NNP .
720,WP VBZ DT NN IN DT JJ NN POS NN NN IN NNP CC DT JJ NN TO VB RP IN CD .
721,WP NN IN NN VBZ DT JJ NN IN NNP VB .
722,WP JJ NN VBD NNP TO VB DT NNP NNP .
723,"WRB JJ NN VBD NNP VBD IN DT NN , DT NNP NNP IN NN ."
724,WP NN NNS RB IN NNP VBD DT NN VBP NN IN .
725,WP VBD NNP CC NNP VBD IN CD .
726,WRB RB VBD NNP RB VBP TO DT NN .
727,WRB VBZ DT NN VBD IN JJ NNS .
728,WP NN VBD NNP NN IN NNP NNP .
729,WRB JJ NN VBD NNP NN IN DT NN IN PRP$ NNP NNP NN .
730,WP JJ NN VBD NNP POS NN NN IN .
731,WP VBD NNP VB IN IN DT NNP IN NNP RB : DT NNP NNP .
732,NN VBD DT NN NN IN WP NN .
733,"IN NNP NNP NNP POS NN , WP JJ VBD NNP NN ."
734,WRB RB VBD DT NN IN NNP POS NN IN PRP VB .
735,"WP NN VBD NNP CC PRP$ JJ NN IN NNP CD , CD ."
736,"WP NN VBD IN DT NN IN DT NN , NNP NNP DT NNP ."
737,WP VBD PRP VB IN IN NNP NNP .
738,WDT CD NNS VBD NNP NN IN PRP$ NNP NNP NN .
739,WP VBD NNP VB IN DT NNP NNP NNP IN CD .
740,WP NNP NNP NN VBD NNP NN IN NNP VBD NNP VBD VBN .
741,JJ JJ NN VBD NNP TO VB `` NNP DT NN . ''
742,WP NN VBD NNP NN TO DT NN .
743,NN VBZ VBG TO WDT NN NN .
744,"IN NNP CD , CD WRB VBD DT JJ NN IN `` DT NNP IN NNP '' ."
745,NN VBD VBG RB WP WRB PRP VBD PRP$ NN VBD `` VBG DT JJS NNS IN DT JJ VBG . `` .
746,DT NNP DT NNP NN NN VBD WP JJ NN .
747,WP VBD DT NN IN DT NNP NNP IN NNP NN .
748,WP VBG NN VBD VBN IN DT NN .
749,WP VBZ DT NN IN DT NN WDT NNP CC NNS VBP VBN IN DT NNS IN NN NN .
750,WP NN VBG VBD DT NN IN NNP NNP NNP .
751,WP NN VBD NNP NN TO DT CD NNP NNP NNP NN .
752,WP VBD NNP NN IN IN CD IN DT NNP IN NNP NN .
753,WP VBD NNP POS NNS .
754,IN WP NN VBD NNP JJ IN .
755,IN WP NN VBD NNP VB RB IN .
756,IN WP NN VBD NNP NN IN .
757,IN WP NN VBD NNP NN IN NNP .
758,WP NN VBD NNP VBN .
759,WP NN VBD NNP JJ IN .
760,WRB VBD NNP VB RP .
761,WP NN VBD PRP RB VB IN .
762,IN WP NN VBD NNP VB NNP .
763,WRB VBD NNP NN .
764,WP VBD NNP POS JJ NN .
765,DT NN IN NNP POS NNS VBD IN WP NN .
766,NNP VBD JJ IN WP NN .
767,IN WP NN VBD NNP VBN .
768,IN WP NN VBD NNP NN CC VBN .
769,WRB JJ VBD NNP WRB PRP VBD NNP .
770,IN WP NN IN NN VBD NNP VB .
771,WP NN VBD NNP NN .
772,IN WP NN VBD NNP NN TO NNP .
773,WRB JJ JJ NNS VBD NNP VBN TO VB VBN IN DT NN IN PRP$ NN .
774,IN WP NN VBD NNP VB NN IN NNP .
775,IN WP NN VBD NNP POS RBS JJ NN IN NN VBN NN .
776,WP VBD NNP POS JJS JJ NN IN NN .
777,WRB VBD PRP VB RP VBG WRB PRP VBD CD .
778,WRB JJ JJ NNS VBD PRP VB IN DT JJ NNS IN PRP$ NN .
779,WP JJ NN VBD NNP VB DT NN IN .
780,WP NN VBD PRP VB NN IN NNP .
781,WP VBZ DT NN IN DT NN PRP VBD DT NN IN IN CD .
782,IN WP NN VBD NNP NN TO NNP .
783,IN DT JJ CD NNS PRP VBD IN WRB JJ NNS VBD NNP VB IN JJ .
784,WP NN VBD NNP VB DT NN IN NNP .
785,IN DT JJ NNS IN PRP$ NN WP VBD DT NN WDT VBD PRP RB .
786,IN WP NN VBD NNP VB DT JJ NN .
787,WP VBD NNP NN IN DT JJ NNS IN PRP$ NN .
788,WP VBD DT JJ NN IN NN IN NNP .
789,WP NN VBD DT NN IN NNP NN .
790,WP NN VBD NNP VBD IN VBG .
791,JJ NN VBD NNP VB DT RBS CC RB VB NN IN PRP$ NN .
792,WP VBZ VBD NNP POS NN NN CC VBD PRP RP .
793,WP VBZ VBD NNP RB VBZ IN NNP IN VBD PRP$ NN .
794,WDT NN VBP DT CD IN PRP$ NNS VBP .
795,WP NN VBD NNP NN .
796,WP VBP CD NNS NNP POS NNS VBD VBN IN .
797,WP CD NNS VBD NNP POS NN .
798,"NNP VBD DT NN TO NNS , WP NN VBD DT NNS ."
799,WP NN VBZ VBN IN DT IN NNP POS NN .
800,NNP VBD JJ NNS TO NNS IN WP NN .
801,NNP POS NNS VBD VBN IN WP .
802,WP CD NNS VBD NNP VB NN IN .
803,WP NN VBD DT IN NNP POS NNS VBN IN .
804,WP NN VBD DT NNS VBN IN DT NNP VBD NN IN .
805,IN WP NN VBD NNP DT RB VBN JJS .
806,WP VBD DT NN IN NNP POS NN IN JJ NN .
807,WP NNS IN NNP POS JJ NN VBD PRP$ NN IN DT JJ NN IN DT NN .
808,IN WDT NN VBD NNP VBP DT NN IN IN DT VBG NN .
809,IN WP NNS IN NNS VBZ NNP VBN DT NN IN .
810,WRB VBD NNP VB DT NN IN PRP$ NNS .
811,NNP VBZ DT NN IN WP NN .
812,PRP VBD DT JJ NN IN WP .
813,NNP VBZ RB VBN IN WP NN .
814,WRB VBD NNP VB JJS IN PRP$ NNS .
815,NNP VBD RB VBN TO WP .
816,NNP VBZ VBN DT JJ NN IN WP .
817,IN WP NN VBD NNP NN IN .
818,IN WP NN VBD NNP NN IN .
819,"IN DT NN VBN IN JJ NN , WP NN VBZ VBN IN DT NN CC PRP$ NN RB ."
820,WP VBD DT JJ NN IN NNP POS JJ NN .
821,WRB JJ NNS VBD DT NN NNP NN IN VBN TO DT NN IN NNP .
822,WRB VBD NNP VBN .
823,WP VBD JJ IN DT NN IN DT NNP IN NNP .
824,WRB VBD PRP$ NN VBD IN VBG .
825,WP NN NN VBZ RB VBN IN PRP$ JJ NN .
826,NNP POS VBN NNS IN NNP VBP WP .
827,DT NNP IN NNP VBD VBN IN WP .
828,NNP POS NN VBZ VBN IN WRB .
829,WP NN NN VBZ RB VBN NN IN NNP .
830,WP VBZ DT JJ NN IN NNP POS NN .
831,NNP VBD RB JJ IN IN NNP IN WP NN .
832,WP JJ JJ NN VBD VBN DT JJ NN IN DT NN .
833,WP VBD NNP POS NN NN IN CD .
834,IN WP NN VBD NNP VBD .
835,"WP NN VBD NNP POS NN , NNP , NN IN VBG IN DT NN ."
836,WP VBD DT VBN NN IN NNP POS NN .
837,WRB VBD NNP POS NN IN .
838,NNP POS NN VBD WP .
839,WP VBZ DT NN IN NNP POS NN .
840,WP VBZ DT NN IN NNP POS JJS NN .
841,WP VBD NNP POS NN POS JJ NN .
842,IN WRB JJ NNP POS NN NN IN .
843,WP VBZ NNP POS JJR NN POS NN .
844,IN WP NN VBD NNP NN TO NNP IN PRP$ NN .
845,WP NN VBD NNP POS NN NN IN PRP VBD VBN TO NNP .
846,WRB VBD NNP NN IN PRP$ NN IN PRP VBD IN NNP .
847,WP CD NNS VBD NNP POS NN NN IN DT NN .
848,WP VBD NNP NN TO IN RB NN IN DT NN IN PRP$ JJ NN .
849,WRB VBD NNP POS NN NN TO NNP .
850,WRB VBD NNP POS NN VB DT NN NN .
851,WP NNS VBD NNP POS NN NN .
852,WP NN VBD NNP POS NN NN .
853,WRB JJ VBD NNP WRB PRP$ NN VBD TO NNP .
854,WP NN VBD NNP POS NN NN .
855,WP CD NNS VBD NNP POS NN NN .
856,WP NN VBD NNP POS NN NN IN DT NN NN .
857,WRB VBD NNP NN IN PRP$ NN IN NNP .
858,WP VBD NNP POS JJ JJ NN IN NN .
859,JJ NN VBD NNP NN NNS IN RB IN VBG VBN IN DT NN .
860,IN WP NN VBD NNP VB VBG JJ NNS .
861,WP VBD NNP NN IN DT NN IN CD .
862,WP VBZ DT JJS VBG JJ NN VBN IN NNP .
863,WP VBD NNP POS JJ NN NN .
864,NNP IN PRP$ NNS VBD NNP RB VBZ IN .
865,IN WP NN VBD NNP VB VBG RB .
866,WP NN VBD NNP VB PRP$ JJ NN .
867,IN WP NNS VBD NNP VB NN IN NN .
868,WP VBZ DT NN IN NNP POS JJ NN NN WDT VBD RB DT NN NN .
869,NNP IN NNP POS NNS MD VB NN IN PRP .
870,WRB JJ VBD NNP WRB PRP VBD TO VB IN DT NN .
871,"WP VBD NNP POS JJS NN IN NN , IN EX VBZ DT NN IN , VBN TO ."
872,IN WP NN VBD DT NNP NNP VBN IN DT JJ NN IN NN VBG DT NN .
873,WP NN NN VBZ WP VBD VBN IN DT NNP NNP IN DT NN .
874,WP NN VBD NNP POS JJ NN NN TO .
875,WP NN VBD NNP RB VBD TO IN DT NN IN DT NN POS NN .
876,WP JJ NN NN IN NNP POS NN IN DT NN .
877,DT NNP NNP VBD VBN RP IN JJ NN IN WP NN .
878,DT NNP NNP VBD VBN TO WRB .
879,IN DT NN NNP VBD VBN TO VB IN DT NN IN WP .
880,WP VBD NNP NN IN NNP NNP NNP .
881,IN CD IN PRP$ NNS WP VBD DT NN IN NNP IN DT NN .
882,WP VBD DT NN NNP VBD VBN TO IN DT NN IN NN POS NN .
883,WP VBZ DT NN CC NN IN DT NN WP$ NN NNP VBD NNS IN .
884,WP NN IN JJ NN VBD NNP NN IN PRP$ NN POS NN NN .
885,WP VBD IN CD IN DT NN IN NNP .
886,IN WP NNS VBD NNP VB DT NNP NNP IN NNS .
887,WP VBD NNP DT NN IN VBG NN NN VBG IN CD .
888,WP VBD DT NN IN DT JJ NN NNP VBD IN IN CD .
889,JJ NN VBD NNP NN IN JJ TO PRP$ NN IN JJ NNS .
890,IN WP NN VBD NNP POS JJ NN WDT VBD JJ NN .
891,WP VBD NNP TO VB DT NN .
892,NNP VBD CD NNS IN NNS IN WP .
893,WP NN VBD NNP NN IN NN IN NNP NNP PRP .
894,WP NN VBD NNP NNP PRP VBP TO NNP .
895,WP VBD DT JJ IN NNP POS NNS TO VB JJ NN .
896,WP VBD NNP NN IN WRB TO VB DT NN .
897,WP VBD DT NN IN DT NN IN NNP POS CD NN NN WDT VBD IN DT NN IN CD .
898,WP VBZ JJ NN IN DT JJ NN NNP VBD IN CD .
899,WP VBD NNP NNP PRP VBP TO NNP .
900,WP VBZ DT NN IN PRP$ JJ RB JJ NN .
901,WP VBD NNP DT NN IN IN PRP$ NN IN NNP IN CD CC CD .
902,IN WDT NN VBD NNP JJ NN JJ JJ NN NN .
903,TO WP VBD NNP NN NNS TO IN PRP$ NN IN NNP .
904,WP VBD NNP VB NNS IN IN PRP$ NNS .
905,IN PRP$ NN IN CD CC CD WP VBD NNP VB PRP$ NN IN .
906,WP NN IN NN VBD NNP NN IN DT JJ NN IN VBG IN NNP .
907,WP VBD DT NN IN DT NN WP VBD NNP IN DT NN WRB PRP VBD JJ JJ NN NN .
908,WP VBD DT NN NN VBD IN DT NN NNS PRP VBD .
909,WRB VBD NNP VB PRP$ NN IN CD CC CD .
910,"IN WP NN VBD NNP POS JJS NN , NNP , VB RP ."
911,WP NN VBD NNP POS NN NN TO IN DT NN IN PRP$ JJS NN .
912,WP NN VBD NNP VB NNP IN VBG IN PRP$ NN TO DT JJ NN IN NNP NNP .
913,WP VBD DT NNP POS NN NN NN IN DT JJ NN .
914,JJ NN VBD DT JJ VBN NN IN NNP .
915,WP NN VBD NNP POS NN NNP NN .
916,WP NN VBD NNP VB NNP .
917,WP VBD DT NNP NN POS NN .
918,WP NN VBD DT NNP NN .
919,WP IN NNP POS NN VBD RB IN PRP VBD IN CD .
920,WP NN VBD NNP VB NNP .
921,WP VBD DT NNP NN NN VBN IN NNP .
922,WP NN VBD NNS IN DT NNP NN IN CD .
923,VBD DT NNP NN NN NN IN NN CC JJ NNS .
924,"IN DT NNS WDT VBD JJ IN NNP IN PRP$ NN IN DT NN NNS , WDT CD VBD NN IN NNP POS JJ NN IN NNP ."
925,JJ NN VBD VBN RB IN NN NNP VBD VBN TO .
926,WP CD NN IN PRP$ NN POS NN NN VBD NNS IN NNP .
927,JJ NN VBD NNP VB VBN IN .
928,NNP IN NNP POS NN VBD RB VBN TO NNP .
929,WRB VBD NNP VB PRP$ JJ NNP NN .
930,JJ CD IN NNP POS NNS VBD NN IN PRP$ NNP NN .
931,WP VBD DT NN IN DT JJ NN NNP VBD VBN TO .
932,TO WP VBD NNP NN IN NNS WDT NNS IN PRP$ NN VBD IN DT NN NN PRP VBD VBN IN .
933,WP JJ NN VBD DT NNP VBN TO DT NN VBG NN NNP VBD VBN IN .
